,bh,bh_id,bj,jg_id,jgmc,njdm_id,xqh_id,zyh,zyh_id,zymc,njmc
25,15203001,15203001,播音151,20,新闻与传播学院,2015,1,2030,2030,播音与主持艺术,2015
26,15203002,15203002,播音152,20,新闻与传播学院,2015,1,2030,2030,播音与主持艺术,2015
27,15203003,15203003,播音153,20,新闻与传播学院,2015,1,2030,2030,播音与主持艺术,2015
47,15117001,15117001,产品151,11,美术与设计学院,2015,1,1170,1170,产品设计,2015
48,15117002,15117002,产品152,11,美术与设计学院,2015,1,1170,1170,产品设计,2015
68,15095001,15095001,城规151,9,建筑与城市规划学院,2015,1,950,950,城乡规划,2015
69,15095002,15095002,城规152,9,建筑与城市规划学院,2015,1,950,950,城乡规划,2015
84,15015001,15015001,地规151,1,地理科学与遥感学院,2015,1,151,151,人文地理与城乡规划(不动产),2015
85,15015002,15015002,地规152,1,地理科学与遥感学院,2015,1,152,152,人文地理与城乡规划(区域物流),2015
99,15016001,15016001,地环151,1,地理科学与遥感学院,2015,1,160,160,自然地理与资源环境,2015
110,15011001,15011001,地理151,1,地理科学与遥感学院,2015,1,110,110,地理科学,2015
136,15014001,15014001,地信151,1,地理科学与遥感学院,2015,1,140,140,地理信息科学,2015
172,15073001,15073001,电气151,7,机械与电气工程学院,2015,1,733,733,电气工程及其自动化(电力系统自动化),2015
173,15073002,15073002,电气152,7,机械与电气工程学院,2015,1,733,733,电气工程及其自动化(电力系统自动化),2015
174,15073003,15073003,电气153,7,机械与电气工程学院,2015,1,734,734,电气工程及其自动化(工业自动化),2015
175,15073004,15073004,电气154,7,机械与电气工程学院,2015,1,734,734,电气工程及其自动化(工业自动化),2015
208,15658001,15658001,电商151,A8949843A41F6F60E053206411ACFBC4,管理学院,2015,1,6580,6580,电子商务,2015
209,15658002,15658002,电商152,A8949843A41F6F60E053206411ACFBC4,管理学院,2015,1,6580,6580,电子商务,2015
234,15074001,15074001,电信151,A8949843A4056F60E053206411ACFBC4,电子与通信工程学院,2015,1,741,741,电子信息工程(电子信息工程),2015
235,15074002,15074002,电信152,A8949843A4056F60E053206411ACFBC4,电子与通信工程学院,2015,1,743,743,电子信息工程(音视频与艺术照明工程),2015
276,15192001,15192001,电子151,A8949843A4056F60E053206411ACFBC4,电子与通信工程学院,2015,1,1923,1923,电子信息科学与技术(物联网技术),2015
303,15112001,15112001,动画151,11,美术与设计学院,2015,1,1127,1127,动画(影视动画),2015
304,15112002,15112002,动画152,11,美术与设计学院,2015,1,1127,1127,动画(影视动画),2015
305,15112003,15112003,动画153,11,美术与设计学院,2015,1,1128,1128,动画(游戏动画),2015
371,15021001,15021001,法学151,2,法学院(律师学院),2015,1,212,212,法学(律师),2015
